,0
306,Scott Weinger
307,Linda Larkin
308,Jonathan Freeman
309,Linda Hamilton
310,Robert Patrick
311,Edward Furlong
312,Mary McDonnell
313,Floyd Red Crow Westerman
314,Jack Nicholson
315,Michael Keaton
316,Kim Basinger
317,Michael Gough
318,Scott Glenn
319,Ted Levine
320,Adriana Caselotti
321,Lucille La Verne
322,Harry Stockwell
323,Roy Atwell
324,Robby Benson
325,Richard White
326,Jerry Orbach
327,Mel Blanc
328,Don Brodie
329,Walter Catlett
330,Marion Darlington
331,Julia Roberts
332,Richard Gere
333,Ralph Bellamy
334,Jason Alexander
335,Frances McDormand
336,Steve Buscemi
337,Peter Stormare
338,Harve Presnell
339,Phil Harris
340,Sterling Holloway
341,Scatman Crothers
342,Eva Gabor
343,Edward Norton
344,Laura Linney
345,John Mahoney
346,Henry Czerny
347,Dennis Quaid
348,David Thewlis
349,Dina Meyer
350,Joanna Lumley
351,Michael Jordan
352,Wayne Knight
353,Billy West
354,Dee Bradley Baker
355,Joey Lawrence
356,Billy Joel
357,Richard Mulligan
358,Gary Farmer
359,Crispin Glover
360,Lance Henriksen
361,Christian Clavier
362,Christian Bujeau
363,Isabelle Nanty
364,Robin Tunney
365,Fairuza Balk
366,Neve Campbell
367,Rachel True
368,Sean Connery
369,Ed Harris
370,John Spencer
371,Helen Hunt
372,Jami Gertz
373,Atsuko Tanaka
374,Akio Ohtsuka
375,Iemasa Kayumi
376,Kouichi Yamadera
377,Peter Sellers
378,Sterling Hayden
379,Keenan Wynn
380,Slim Pickens
381,Ewan McGregor
382,Ewen Bremner
383,Robert Carlyle
384,Tom Hulce
385,Tony Jay
386,Kevin Kline
387,Jeffrey Combs
388,Jake Busey
389,Chi McBride
390,Trini Alvarado
391,Kyra Sedgwick
392,Forest Whitaker
393,Robert Duvall
394,Matthew McConaughey
395,Oliver Platt
396,Delroy Lindo
397,Mara Wilson
398,Embeth Davidtz
399,Rhea Perlman
400,Marlon Brando
401,James Caan
402,Gene Kelly
